trade_id,symbol,side,quantity,entry_price,exit_price,entry_time,exit_time,pnl,pnl_percent,net_pnl,commission,swap,stop_loss,take_profit,result,exit_reason,strategy_name,magic_number,duration_minutes,r_multiple,notes,session
282a5b5d-3b6d-4772-a6ff-597603c956a8,EURUSD,short,1.2000000000000002,1.1296499999999998,1.1305100000000001,2022-01-03T14:51:00,2022-01-03T19:02:00,-103.20000000003661,0.0,-106.20000000003661,3.0,0.0,1.13046,1.1274199999999996,loss,sl,ORB,0,251.0,-106172.83950618435,,NewYork
076520ae-6393-415d-a1fb-a968bbd10646,EURUSD,long,1.0,1.12789,1.1305499999999993,2022-01-04T08:19:00,2022-01-04T10:23:00,265.99999999992184,0.0,262.99999999992184,3.0,0.0,1.1269200000000001,1.1305999999999994,win,tp,ORB,0,124.0,274226.80412365467,,London
8ae640d4-9b14-44ed-a344-5adbeba95724,EURUSD,short,0.5,1.13044,1.13255,2022-01-05T08:15:00,2022-01-05T08:49:00,-105.50000000000281,0.0,-108.50000000000281,3.0,0.0,1.1324999999999998,1.1244600000000005,loss,sl,ORB,0,34.0,-102427.1844660246,,London
3746aaed-a7cc-4176-ad1b-c3be3976de3f,EURUSD,short,1.2000000000000002,1.1294799999999998,1.13038,2022-01-06T14:46:00,2022-01-07T01:11:00,-108.00000000001477,0.0,-111.00000000001477,3.0,0.0,1.1303299999999998,1.1271300000000002,loss,sl,ORB,0,625.0,-105882.35294118876,,NewYork
f81938af-6b4e-4932-8a31-ce256eb045fb,EURUSD,long,1.1,1.13698,1.1394899999999997,2022-01-12T08:12:00,2022-01-12T08:39:00,276.0999999999525,0.0,273.0999999999525,3.0,0.0,1.13606,1.1395399999999998,win,tp,ORB,0,27.0,272826.0869564653,,London
770b61b1-3fee-496f-b3ab-aa1867b75ee7,EURUSD,long,1.2000000000000002,1.14525,1.14435,2022-01-12T14:55:00,2022-01-12T16:38:00,-108.00000000001477,0.0,-111.00000000001477,3.0,0.0,1.1444,1.1475999999999997,loss,sl,ORB,0,103.0,-105882.35294118876,,NewYork
0b10135d-8ccc-4c8d-baf5-053c30a988ef,EURUSD,long,1.1,1.1344400000000001,1.13343,2022-01-20T08:26:00,2022-01-20T09:49:00,-111.10000000001952,0.0,-114.10000000001952,3.0,0.0,1.13348,1.13712,loss,sl,ORB,0,83.0,-105208.33333334392,,London
9dd956f8-4295-454d-be7e-6602177b48ae,EURUSD,long,1.2000000000000002,1.1310600000000002,1.13019,2022-02-02T14:53:00,2022-02-02T16:10:00,-104.40000000001781,0.0,-107.40000000001781,3.0,0.0,1.1302400000000001,1.1333199999999999,loss,sl,ORB,0,77.0,-106097.56097562228,,NewYork
f26b3ccf-38e6-46e8-8b00-fe5efca66523,EURUSD,short,1.0,1.1431,1.14413,2022-02-03T14:55:00,2022-02-03T17:53:00,-103.00000000000864,0.0,-106.00000000000864,3.0,0.0,1.14408,1.1403600000000005,loss,sl,ORB,0,178.0,-105102.0408163374,,NewYork
4a40f25a-aa74-4c04-b544-960dc74a9a4d,EURUSD,short,1.1,1.1412,1.14218,2022-02-08T14:51:00,2022-02-08T19:05:00,-107.79999999999791,0.0,-110.79999999999791,3.0,0.0,1.1421299999999999,1.1386100000000008,loss,sl,ORB,0,254.0,-105376.34408603357,,NewYork
a4554860-ca32-4758-99cb-4cbfcce3d367,EURUSD,short,1.1,1.1433399999999998,1.1409499999999997,2022-02-10T08:23:00,2022-02-10T08:30:00,262.9000000000126,0.0,259.9000000000126,3.0,0.0,1.14422,1.1408999999999996,win,tp,ORB,0,7.0,271590.9090908561,,London
563a37a2-927f-412c-9a8b-f071db7893dc,EURUSD,short,1.1,1.13444,1.13542,2022-02-22T08:12:00,2022-02-22T11:50:00,-107.80000000002234,0.0,-110.80000000002234,3.0,0.0,1.13537,1.13185,loss,sl,ORB,0,218.0,-105376.3440860323,,London
e4648792-7198-4c50-a04c-ba255c178c2e,EURUSD,short,1.1,1.12553,1.12647,2022-02-25T14:45:00,2022-02-25T14:57:00,-103.40000000001793,0.0,-106.40000000001793,3.0,0.0,1.12642,1.1230600000000002,loss,sl,ORB,0,12.0,-105617.97752810139,,NewYork
