Symbol,Status,Fail Reason,Trades,Win Rate,Profit,Max DD
GBPJPY,PASSED,-,30,43.3%,$1193.24,4.08%
USDJPY,PASSED,-,131,51.1%,$21370.81,5.14%
EURUSD,PASSED,-,153,36.6%,$5434.47,6.79%
XAUUSD,PASSED,-,0,0.0%,$0.00,0.00%
GBPUSD,FAILED,MAX TOTAL DD HIT: 8.10%,86,47.7%,$-6882.34,8.10%
