Symbol,Status,Fail Reason,Trades,Win Rate,Profit,Max DD
GBPJPY,PASSED,-,30,43.3%,$202.50,4.08%
USDJPY,PASSED,-,132,51.5%,$21376.89,5.14%
EURUSD,FAILED,MAX TOTAL DD HIT: 8.06%,150,37.3%,$-2901.08,8.06%
XAUUSD,PASSED,-,0,0.0%,$0.00,0.00%
GBPUSD,FAILED,MAX TOTAL DD HIT: 8.16%,24,12.5%,$-7469.44,8.16%
