Symbol,Status,Fail Reason,Trades,Win Rate,Profit,Max DD
GBPJPY,PASSED,-,2,50.0%,$465.61,0.71%
USDJPY,FAILED,MAX DAILY DD HIT: 4.60%,45,48.9%,$10102.90,7.48%
EURUSD,FAILED,MAX TOTAL DD HIT: 8.23%,95,36.8%,$3305.78,8.23%
XAUUSD,PASSED,-,0,0.0%,$0.00,0.00%
GBPUSD,PASSED,-,67,43.3%,$9214.29,3.92%
EURGBP,FAILED,MAX TOTAL DD HIT: 8.02%,164,32.3%,$-5859.60,8.02%
