trade_id,symbol,side,quantity,entry_price,exit_price,entry_time,exit_time,pnl,pnl_percent,net_pnl,commission,swap,stop_loss,take_profit,result,exit_reason,strategy_name,magic_number,duration_minutes,r_multiple,notes,month
d827bac4-a10d-4ef5-a159-6d2e0c83439d,EURUSD,short,1.2000000000000002,1.1296499999999998,1.1305100000000001,2022-01-03T14:51:00,2022-01-03 19:02:00,-103.20000000003661,0.0,-106.20000000003661,3.0,0.0,1.13046,1.1274199999999996,loss,sl,ORB,0,251.0,-106172.83950618435,,2022-01
33af26d5-0512-4820-aa4a-a211e1208d44,EURUSD,long,1.0,1.12789,1.1305499999999993,2022-01-04T08:19:00,2022-01-04 10:23:00,265.99999999992184,0.0,262.99999999992184,3.0,0.0,1.1269200000000001,1.1305999999999994,win,tp,ORB,0,124.0,274226.80412365467,,2022-01
d281e143-4e7c-496c-be02-42bde6c69c02,EURUSD,short,0.5,1.13044,1.13255,2022-01-05T08:15:00,2022-01-05 08:49:00,-105.50000000000281,0.0,-108.50000000000281,3.0,0.0,1.1324999999999998,1.1244600000000005,loss,sl,ORB,0,34.0,-102427.1844660246,,2022-01
92379c56-2951-4e52-a8e4-f0d6a144090d,EURUSD,short,1.2000000000000002,1.1294799999999998,1.13038,2022-01-06T14:46:00,2022-01-07 01:11:00,-108.00000000001477,0.0,-111.00000000001477,3.0,0.0,1.1303299999999998,1.1271300000000002,loss,sl,ORB,0,625.0,-105882.35294118876,,2022-01
78ab8359-22ce-4cd0-a085-7061b9269f04,EURUSD,long,1.1,1.13698,1.1394899999999997,2022-01-12T08:12:00,2022-01-12 08:39:00,276.0999999999525,0.0,273.0999999999525,3.0,0.0,1.13606,1.1395399999999998,win,tp,ORB,0,27.0,272826.0869564653,,2022-01
6cfae3c7-ba09-44b2-8875-da2e5f44616c,EURUSD,long,1.2000000000000002,1.14525,1.14435,2022-01-12T14:55:00,2022-01-12 16:38:00,-108.00000000001477,0.0,-111.00000000001477,3.0,0.0,1.1444,1.1475999999999997,loss,sl,ORB,0,103.0,-105882.35294118876,,2022-01
7ff7302d-676b-46c1-a828-ded98e58a000,EURUSD,long,1.1,1.1344400000000001,1.13343,2022-01-20T08:26:00,2022-01-20 09:49:00,-111.10000000001952,0.0,-114.10000000001952,3.0,0.0,1.13348,1.13712,loss,sl,ORB,0,83.0,-105208.33333334392,,2022-01
172be6b2-27ee-47a4-be7a-e554c3b0aa4d,EURUSD,long,1.2000000000000002,1.1310600000000002,1.13019,2022-02-02T14:53:00,2022-02-02 16:10:00,-104.40000000001781,0.0,-107.40000000001781,3.0,0.0,1.1302400000000001,1.1333199999999999,loss,sl,ORB,0,77.0,-106097.56097562228,,2022-02
b3a101fe-779f-46d4-8a5a-16f5d458a04c,EURUSD,short,1.0,1.1431,1.14413,2022-02-03T14:55:00,2022-02-03 17:53:00,-103.00000000000864,0.0,-106.00000000000864,3.0,0.0,1.14408,1.1403600000000005,loss,sl,ORB,0,178.0,-105102.0408163374,,2022-02
1f4941ec-51f2-42a3-8333-efb5403afffc,EURUSD,short,1.1,1.1412,1.14218,2022-02-08T14:51:00,2022-02-08 19:05:00,-107.79999999999791,0.0,-110.79999999999791,3.0,0.0,1.1421299999999999,1.1386100000000008,loss,sl,ORB,0,254.0,-105376.34408603357,,2022-02
