trade_id,symbol,side,quantity,entry_time,entry_price,exit_time,exit_price,stop_loss,take_profit,pnl,commission,exit_reason,duration_minutes
a8a07ba0-c763-4408-ba4d-04c18b414d57,US500,long,1.0,2024-12-09T09:35:00-05:00,5012.745,2024-12-09T10:10:00-05:00,5001.375,5001.5,5034.86,-568.4999999999945,4.0,sl,35.0
54810e10-ab57-4746-b293-d74fa33d6bb0,US500,short,1.0,2024-12-10T10:40:00-05:00,4986.285,2024-12-10T14:10:00-05:00,4952.895,5003.23,4952.77,1669.499999999971,4.0,tp,210.0
003efc52-d659-438b-b71c-7b27b56e0826,US500,short,1.0,2024-12-11T09:40:00-05:00,4973.235,2024-12-11T11:55:00-05:00,4985.275,4985.15,4949.78,-601.9999999999982,4.0,sl,135.0
734e699d-5c6c-474b-8036-475f8c1725c7,US500,long,1.0,2024-12-12T09:45:00-05:00,5017.935,2024-12-12T11:20:00-05:00,5043.945000000001,5004.68,5044.070000000001,1300.500000000011,4.0,tp,95.0
9bbfe91b-7ec2-46fb-9af9-41ee855f7a5d,US500,short,1.0,2024-12-13T09:35:00-05:00,5033.935,2024-12-13T10:55:00-05:00,5017.725000000001,5042.29,5017.600000000001,810.4999999999563,4.0,tp,80.0
104575f7-f52f-43ac-8b74-8c2d5f013704,US500,short,1.0,2024-12-16T09:40:00-05:00,4999.255,2024-12-16T13:45:00-05:00,4943.205000000001,5027.53,4943.080000000001,2802.4999999999636,4.0,tp,245.0
ce43dc71-ce09-492f-ab2f-2924974496b6,US500,short,1.0,2024-12-17T09:35:00-05:00,4930.905,2024-12-17T10:20:00-05:00,4943.005,4942.88,4907.329999999999,-605.0000000000182,4.0,sl,45.0
490a3b76-57ad-4f2c-b2b0-ec9600db254e,US500,short,1.0,2024-12-18T10:00:00-05:00,4914.995,2024-12-18T10:45:00-05:00,4886.325,4929.58,4886.2,1433.5000000000036,4.0,tp,45.0
e0ece324-bdb5-4e44-86e3-cdf17e4e6a96,US500,long,1.0,2024-12-19T09:35:00-05:00,4889.685,2024-12-19T11:40:00-05:00,4872.705,4872.83,4923.020000000001,-849.0000000000236,4.0,sl,125.0
5cb4539d-a057-4889-a804-52e6587446f0,US500,short,1.0,2024-12-20T09:45:00-05:00,4910.635,2024-12-20T10:50:00-05:00,4919.055,4918.93,4894.42,-421.00000000000364,4.0,sl,65.0
25bb443a-c011-473e-bf92-16355ff2f7e7,US500,short,1.0,2024-12-23T09:45:00-05:00,4875.945,2024-12-23T10:00:00-05:00,4888.255,4888.13,4851.949999999999,-615.50000000002,4.0,sl,15.0
2ad87d18-8335-42b5-8360-75a3d3e1098d,US500,long,1.0,2024-12-24T09:35:00-05:00,4933.635,2024-12-24T11:35:00-05:00,4914.685,4914.81,4970.91,-947.4999999999909,4.0,sl,120.0
465edddb-aa1c-4dbb-ad4a-136e3f5d3162,US500,short,1.0,2024-12-25T09:35:00-05:00,4875.505,2024-12-25T09:40:00-05:00,4881.605,4881.48,4863.930000000001,-304.9999999999727,4.0,sl,5.0
a3b10d6d-cf81-4d3a-9cb5-b85fbf0d5d05,US500,short,1.0,2024-12-26T09:40:00-05:00,4876.985,2024-12-26T10:25:00-05:00,4890.805,4890.68,4849.969999999998,-691.0000000000309,4.0,sl,45.0
